[27/10/2019 06:56:20.085] Namenode heartbeat monitor created
[27/10/2019 06:56:20.085] Started NodeKiller
[27/10/2019 06:56:24.558] Namenode has detected a failure in Datanode #12
[27/10/2019 06:57:38.581] Datanode #119 has received a block #8
[27/10/2019 06:57:40.087] Datanode #162 has received a block #2
[27/10/2019 06:57:40.088] Datanode #119 has received a block #8
[27/10/2019 06:57:42.601] Datanode #162 has received a block #2
[27/10/2019 06:57:42.602] Datanode #119 has received a block #8
[27/10/2019 06:57:44.116] Datanode #119 has received a block #8
[27/10/2019 06:57:44.116] Datanode #162 has received a block #2
[27/10/2019 06:57:46.638] Datanode #162 has received a block #2
[27/10/2019 06:57:46.639] Datanode #119 has received a block #8
[27/10/2019 06:57:48.145] Datanode #162 has received a block #2
[27/10/2019 06:57:48.146] Datanode #119 has received a block #8
[27/10/2019 06:57:50.655] Datanode #162 has received a block #2
[27/10/2019 06:57:50.656] Datanode #119 has received a block #8
[27/10/2019 06:57:52.165] Datanode #119 has received a block #8
[27/10/2019 06:57:52.166] Datanode #162 has received a block #2
[27/10/2019 06:57:54.686] Datanode #162 has received a block #2
[27/10/2019 06:57:54.686] Datanode #119 has received a block #8
[27/10/2019 06:57:56.195] Datanode #162 has received a block #2
[27/10/2019 06:57:56.195] Datanode #119 has received a block #8
[27/10/2019 06:57:58.720] Datanode #119 has received a block #8
[27/10/2019 06:57:58.720] Datanode #162 has received a block #2
[27/10/2019 06:58:00.233] Datanode #119 has received a block #8
[27/10/2019 06:58:00.234] Datanode #162 has received a block #2
[27/10/2019 06:58:02.755] Datanode #162 has received a block #2
[27/10/2019 06:58:02.755] Datanode #119 has received a block #8
[27/10/2019 06:58:04.265] Datanode #162 has received a block #2
[27/10/2019 06:58:04.266] Datanode #119 has received a block #8
[27/10/2019 06:58:06.784] Datanode #119 has received a block #8
[27/10/2019 06:58:06.784] Datanode #162 has received a block #2
[27/10/2019 06:58:08.293] Datanode #162 has received a block #2
[27/10/2019 06:58:08.294] Datanode #119 has received a block #8
[27/10/2019 06:58:10.814] Datanode #162 has received a block #2
[27/10/2019 06:58:10.814] Datanode #119 has received a block #8
[27/10/2019 06:58:12.321] Datanode #119 has received a block #8
[27/10/2019 06:58:12.321] Datanode #162 has received a block #2
[27/10/2019 06:58:14.841] Datanode #162 has received a block #2
[27/10/2019 06:58:14.842] Datanode #119 has received a block #8
[27/10/2019 06:58:16.350] Datanode #162 has received a block #2
[27/10/2019 06:58:16.351] Datanode #119 has received a block #8
[27/10/2019 06:58:18.864] Datanode #162 has received a block #2
[27/10/2019 06:58:18.865] Datanode #119 has received a block #8
[27/10/2019 06:58:20.878] Datanode #119 has received a block #8
[27/10/2019 06:58:20.878] Datanode #162 has received a block #2
[27/10/2019 06:58:22.383] Datanode #162 has received a block #2
[27/10/2019 06:58:22.384] Datanode #119 has received a block #8
[27/10/2019 06:58:24.903] Datanode #119 has received a block #8
[27/10/2019 06:58:24.904] Datanode #162 has received a block #2
[27/10/2019 06:58:26.414] Datanode #119 has received a block #8
[27/10/2019 06:58:26.415] Datanode #162 has received a block #2
[27/10/2019 06:58:28.936] Datanode #119 has received a block #8
[27/10/2019 06:58:28.936] Datanode #162 has received a block #2
[27/10/2019 06:58:30.448] Datanode #119 has received a block #8
[27/10/2019 06:58:30.448] Datanode #162 has received a block #2
[27/10/2019 06:58:32.967] Datanode #119 has received a block #8
[27/10/2019 06:58:32.968] Datanode #162 has received a block #2
[27/10/2019 06:58:34.481] Datanode #162 has received a block #2
[27/10/2019 06:58:34.481] Datanode #119 has received a block #8
[27/10/2019 06:58:36.995] Datanode #162 has received a block #2
[27/10/2019 06:58:36.996] Datanode #119 has received a block #8
[27/10/2019 06:58:38.508] Datanode #119 has received a block #8
[27/10/2019 06:58:38.509] Datanode #162 has received a block #2
[27/10/2019 06:58:41.024] Datanode #119 has received a block #8
[27/10/2019 06:58:41.024] Datanode #162 has received a block #2
[27/10/2019 06:58:42.537] Datanode #119 has received a block #8
[27/10/2019 06:58:42.538] Datanode #162 has received a block #2
[27/10/2019 06:58:45.051] Datanode #162 has received a block #2
[27/10/2019 06:58:45.052] Datanode #119 has received a block #8
[27/10/2019 06:58:46.564] Datanode #119 has received a block #8
[27/10/2019 06:58:46.564] Datanode #162 has received a block #2
[27/10/2019 06:58:49.083] Datanode #162 has received a block #2
[27/10/2019 06:58:49.084] Datanode #119 has received a block #8
[27/10/2019 06:58:50.596] Datanode #162 has received a block #2
[27/10/2019 06:58:50.597] Datanode #119 has received a block #8
[27/10/2019 06:58:53.118] Datanode #119 has received a block #8
[27/10/2019 06:58:53.118] Datanode #162 has received a block #2
[27/10/2019 06:58:54.632] Datanode #162 has received a block #2
[27/10/2019 06:58:54.632] Datanode #119 has received a block #8
[27/10/2019 06:58:57.153] Datanode #162 has received a block #2
[27/10/2019 06:58:57.154] Datanode #119 has received a block #8
[27/10/2019 06:58:58.663] Datanode #162 has received a block #2
[27/10/2019 06:58:58.664] Datanode #119 has received a block #8
[27/10/2019 06:59:01.179] Datanode #162 has received a block #2
[27/10/2019 06:59:01.180] Datanode #119 has received a block #8
[27/10/2019 06:59:02.689] Datanode #119 has received a block #8
[27/10/2019 06:59:02.690] Datanode #162 has received a block #2
[27/10/2019 06:59:05.205] Datanode #162 has received a block #2
[27/10/2019 06:59:05.206] Datanode #119 has received a block #8
[27/10/2019 06:59:06.715] Datanode #162 has received a block #2
[27/10/2019 06:59:06.716] Datanode #119 has received a block #8
[27/10/2019 06:59:09.227] Datanode #119 has received a block #8
[27/10/2019 06:59:09.228] Datanode #162 has received a block #2
[27/10/2019 06:59:10.739] Datanode #162 has received a block #2
[27/10/2019 06:59:10.739] Datanode #119 has received a block #8
[27/10/2019 06:59:13.259] Datanode #119 has received a block #8
[27/10/2019 06:59:13.259] Datanode #162 has received a block #2
[27/10/2019 06:59:14.764] Datanode #119 has received a block #8
[27/10/2019 06:59:14.765] Datanode #162 has received a block #2
[27/10/2019 06:59:17.282] Datanode #162 has received a block #2
[27/10/2019 06:59:17.283] Datanode #119 has received a block #8
[27/10/2019 06:59:18.794] Datanode #119 has received a block #8
[27/10/2019 06:59:18.795] Datanode #162 has received a block #2
[27/10/2019 06:59:21.309] Datanode #162 has received a block #2
[27/10/2019 06:59:21.310] Datanode #119 has received a block #8
[27/10/2019 06:59:22.822] Datanode #119 has received a block #8
[27/10/2019 06:59:22.822] Datanode #162 has received a block #2
[27/10/2019 06:59:25.342] Datanode #162 has received a block #2
[27/10/2019 06:59:25.343] Datanode #119 has received a block #8
[27/10/2019 06:59:26.856] Datanode #119 has received a block #8
[27/10/2019 06:59:26.857] Datanode #162 has received a block #2
[27/10/2019 06:59:29.373] Datanode #119 has received a block #8
[27/10/2019 06:59:29.374] Datanode #162 has received a block #2
[27/10/2019 06:59:30.883] Datanode #119 has received a block #8
[27/10/2019 06:59:30.884] Datanode #162 has received a block #2
[27/10/2019 06:59:33.404] Datanode #162 has received a block #2
[27/10/2019 06:59:33.404] Datanode #119 has received a block #8
[27/10/2019 06:59:34.915] Datanode #162 has received a block #2
[27/10/2019 06:59:34.915] Datanode #119 has received a block #8
[27/10/2019 06:59:37.434] Datanode #162 has received a block #2
[27/10/2019 06:59:37.435] Datanode #119 has received a block #8
[27/10/2019 06:59:38.945] Datanode #162 has received a block #2
[27/10/2019 06:59:38.946] Datanode #119 has received a block #8
[27/10/2019 06:59:41.458] Datanode #162 has received a block #2
[27/10/2019 06:59:41.458] Datanode #119 has received a block #8
[27/10/2019 06:59:42.969] Datanode #119 has received a block #8
[27/10/2019 06:59:42.970] Datanode #162 has received a block #2
[27/10/2019 06:59:45.482] Datanode #119 has received a block #8
[27/10/2019 06:59:45.482] Datanode #162 has received a block #2
[27/10/2019 06:59:46.993] Datanode #119 has received a block #8
[27/10/2019 06:59:46.993] Datanode #162 has received a block #2
[27/10/2019 06:59:49.505] Datanode #119 has received a block #8
[27/10/2019 06:59:49.505] Datanode #162 has received a block #2
[27/10/2019 06:59:51.009] Datanode #119 has received a block #8
[27/10/2019 06:59:51.010] Datanode #162 has received a block #2
[27/10/2019 06:59:53.528] Datanode #119 has received a block #8
[27/10/2019 06:59:53.529] Datanode #162 has received a block #2
[27/10/2019 06:59:55.034] Datanode #119 has received a block #8
[27/10/2019 06:59:55.034] Datanode #162 has received a block #2
[27/10/2019 06:59:57.552] Datanode #162 has received a block #2
[27/10/2019 06:59:57.552] Datanode #119 has received a block #8
[27/10/2019 06:59:59.061] Datanode #162 has received a block #2
[27/10/2019 06:59:59.061] Datanode #119 has received a block #8
[27/10/2019 07:00:01.577] Datanode #119 has received a block #8
[27/10/2019 07:00:01.577] Datanode #162 has received a block #2
[27/10/2019 07:00:03.086] Datanode #119 has received a block #8
[27/10/2019 07:00:03.086] Datanode #162 has received a block #2
[27/10/2019 07:00:05.600] Datanode #162 has received a block #2
[27/10/2019 07:00:05.601] Datanode #119 has received a block #8
[27/10/2019 07:00:07.104] Datanode #162 has received a block #2
[27/10/2019 07:00:07.105] Datanode #119 has received a block #8
[27/10/2019 07:00:09.619] Datanode #162 has received a block #2
[27/10/2019 07:00:09.620] Datanode #119 has received a block #8
[27/10/2019 07:00:10.628] Datanode #162 has received a block #2
[27/10/2019 07:00:10.629] Datanode #119 has received a block #8
[27/10/2019 07:00:13.146] Datanode #119 has received a block #8
[27/10/2019 07:00:13.147] Datanode #162 has received a block #2
[27/10/2019 07:00:15.660] Datanode #162 has received a block #2
[27/10/2019 07:00:15.660] Datanode #119 has received a block #8
[27/10/2019 07:00:17.171] Datanode #119 has received a block #8
[27/10/2019 07:00:17.171] Datanode #162 has received a block #2
[27/10/2019 07:00:19.689] Datanode #162 has received a block #2
[27/10/2019 07:00:19.690] Datanode #119 has received a block #8
[27/10/2019 07:00:21.196] Datanode #119 has received a block #8
[27/10/2019 07:00:21.197] Datanode #162 has received a block #2
[27/10/2019 07:00:23.702] Datanode #162 has received a block #2
[27/10/2019 07:00:23.703] Datanode #119 has received a block #8
[27/10/2019 07:00:25.213] Datanode #162 has received a block #2
[27/10/2019 07:00:25.214] Datanode #119 has received a block #8
[27/10/2019 07:00:27.737] Datanode #119 has received a block #8
[27/10/2019 07:00:27.737] Datanode #162 has received a block #2
[27/10/2019 07:00:29.249] Datanode #162 has received a block #2
[27/10/2019 07:00:29.249] Datanode #119 has received a block #8
[27/10/2019 07:00:31.769] Datanode #162 has received a block #2
[27/10/2019 07:00:31.770] Datanode #119 has received a block #8
[27/10/2019 07:00:33.282] Datanode #162 has received a block #2
[27/10/2019 07:00:33.283] Datanode #119 has received a block #8
[27/10/2019 07:00:35.795] Datanode #119 has received a block #8
[27/10/2019 07:00:35.795] Datanode #162 has received a block #2
[27/10/2019 07:00:37.307] Datanode #162 has received a block #2
[27/10/2019 07:00:37.307] Datanode #119 has received a block #8
[27/10/2019 07:00:39.820] Datanode #162 has received a block #2
[27/10/2019 07:00:39.820] Datanode #119 has received a block #8
[27/10/2019 07:00:41.332] Datanode #119 has received a block #8
[27/10/2019 07:00:41.332] Datanode #162 has received a block #2
[27/10/2019 07:00:43.848] Datanode #119 has received a block #8
[27/10/2019 07:00:43.849] Datanode #162 has received a block #2
[27/10/2019 07:00:45.355] Datanode #162 has received a block #2
[27/10/2019 07:00:45.356] Datanode #119 has received a block #8
[27/10/2019 07:00:47.871] Datanode #162 has received a block #2
[27/10/2019 07:00:47.872] Datanode #119 has received a block #8
[27/10/2019 07:00:49.382] Datanode #162 has received a block #2
[27/10/2019 07:00:49.383] Datanode #119 has received a block #8
[27/10/2019 07:00:51.902] Datanode #162 has received a block #2
[27/10/2019 07:00:51.903] Datanode #119 has received a block #8
[27/10/2019 07:00:53.411] Datanode #162 has received a block #2
[27/10/2019 07:00:53.412] Datanode #119 has received a block #8
[27/10/2019 07:00:55.936] Datanode #119 has received a block #8
[27/10/2019 07:00:55.937] Datanode #162 has received a block #2
[27/10/2019 07:00:57.442] Datanode #162 has received a block #2
[27/10/2019 07:00:57.442] Datanode #119 has received a block #8
[27/10/2019 07:00:59.954] Datanode #119 has received a block #8
[27/10/2019 07:00:59.954] Datanode #162 has received a block #2
[27/10/2019 07:01:01.465] Datanode #119 has received a block #8
[27/10/2019 07:01:01.466] Datanode #162 has received a block #2
[27/10/2019 07:01:03.979] Datanode #119 has received a block #8
[27/10/2019 07:01:03.979] Datanode #162 has received a block #2
[27/10/2019 07:01:05.487] Datanode #119 has received a block #8
[27/10/2019 07:01:05.487] Datanode #162 has received a block #2
[27/10/2019 07:01:08.007] Datanode #119 has received a block #8
[27/10/2019 07:01:08.008] Datanode #162 has received a block #2
[27/10/2019 07:01:09.514] Datanode #162 has received a block #2
[27/10/2019 07:01:09.515] Datanode #119 has received a block #8
[27/10/2019 07:01:12.031] Datanode #162 has received a block #2
[27/10/2019 07:01:12.031] Datanode #119 has received a block #8
[27/10/2019 07:01:13.538] Datanode #119 has received a block #8
[27/10/2019 07:01:13.538] Datanode #162 has received a block #2
[27/10/2019 07:01:16.055] Datanode #162 has received a block #2
[27/10/2019 07:01:16.055] Datanode #119 has received a block #8
[27/10/2019 07:01:17.562] Datanode #162 has received a block #2
[27/10/2019 07:01:17.562] Datanode #119 has received a block #8
[27/10/2019 07:01:20.070] Datanode #162 has received a block #2
[27/10/2019 07:01:20.071] Datanode #119 has received a block #8
[27/10/2019 07:01:21.578] Datanode #162 has received a block #2
[27/10/2019 07:01:21.579] Datanode #119 has received a block #8
[27/10/2019 07:01:24.091] Datanode #162 has received a block #2
[27/10/2019 07:01:24.092] Datanode #119 has received a block #8
[27/10/2019 07:01:25.601] Datanode #162 has received a block #2
[27/10/2019 07:01:25.602] Datanode #119 has received a block #8
[27/10/2019 07:01:28.124] Datanode #162 has received a block #2
[27/10/2019 07:01:28.125] Datanode #119 has received a block #8
[27/10/2019 07:01:29.638] Datanode #162 has received a block #2
[27/10/2019 07:01:29.638] Datanode #119 has received a block #8
[27/10/2019 07:01:32.154] Datanode #162 has received a block #2
[27/10/2019 07:01:32.154] Datanode #119 has received a block #8
[27/10/2019 07:01:33.663] Datanode #162 has received a block #2
[27/10/2019 07:01:33.663] Datanode #119 has received a block #8
[27/10/2019 07:01:36.178] Datanode #162 has received a block #2
[27/10/2019 07:01:36.178] Datanode #119 has received a block #8
[27/10/2019 07:01:37.688] Datanode #162 has received a block #2
[27/10/2019 07:01:37.689] Datanode #119 has received a block #8
[27/10/2019 07:01:40.207] Datanode #162 has received a block #2
[27/10/2019 07:01:40.208] Datanode #119 has received a block #8
[27/10/2019 07:01:41.715] Datanode #162 has received a block #2
[27/10/2019 07:01:41.716] Datanode #119 has received a block #8
[27/10/2019 07:01:44.238] Datanode #119 has received a block #8
[27/10/2019 07:01:44.238] Datanode #162 has received a block #2
[27/10/2019 07:01:45.747] Datanode #162 has received a block #2
[27/10/2019 07:01:45.748] Datanode #119 has received a block #8
[27/10/2019 07:01:48.265] Datanode #162 has received a block #2
[27/10/2019 07:01:48.266] Datanode #119 has received a block #8
[27/10/2019 07:01:49.778] Datanode #162 has received a block #2
[27/10/2019 07:01:49.779] Datanode #119 has received a block #8
[27/10/2019 07:01:52.302] Datanode #162 has received a block #2
[27/10/2019 07:01:52.302] Datanode #119 has received a block #8
[27/10/2019 07:01:53.808] Datanode #119 has received a block #8
[27/10/2019 07:01:53.809] Datanode #162 has received a block #2
[27/10/2019 07:01:56.325] Datanode #162 has received a block #2
[27/10/2019 07:01:56.326] Datanode #119 has received a block #8
[27/10/2019 07:01:57.832] Datanode #119 has received a block #8
[27/10/2019 07:01:57.833] Datanode #162 has received a block #2
[27/10/2019 07:02:00.353] Datanode #119 has received a block #8
[27/10/2019 07:02:00.354] Datanode #162 has received a block #2
[27/10/2019 07:02:02.365] Datanode #119 has received a block #8
[27/10/2019 07:02:02.365] Datanode #162 has received a block #2
[27/10/2019 07:02:03.872] Datanode #119 has received a block #8
[27/10/2019 07:02:03.872] Datanode #162 has received a block #2
[27/10/2019 07:02:06.391] Datanode #119 has received a block #8
[27/10/2019 07:02:06.391] Datanode #162 has received a block #2
[27/10/2019 07:02:07.902] Datanode #162 has received a block #2
[27/10/2019 07:02:07.903] Datanode #119 has received a block #8
[27/10/2019 07:02:10.423] Datanode #119 has received a block #8
[27/10/2019 07:02:10.424] Datanode #162 has received a block #2
[27/10/2019 07:02:11.935] Datanode #162 has received a block #2
[27/10/2019 07:02:11.935] Datanode #119 has received a block #8
[27/10/2019 07:02:14.454] Datanode #119 has received a block #8
[27/10/2019 07:02:14.454] Datanode #162 has received a block #2
[27/10/2019 07:02:15.966] Datanode #119 has received a block #8
[27/10/2019 07:02:15.967] Datanode #162 has received a block #2
[27/10/2019 07:02:18.478] Datanode #162 has received a block #2
[27/10/2019 07:02:18.478] Datanode #119 has received a block #8
[27/10/2019 07:02:19.992] Datanode #119 has received a block #8
[27/10/2019 07:02:19.992] Datanode #162 has received a block #2
[27/10/2019 07:02:22.507] Datanode #162 has received a block #2
[27/10/2019 07:02:22.507] Datanode #119 has received a block #8
[27/10/2019 07:02:24.011] Datanode #162 has received a block #2
[27/10/2019 07:02:24.012] Datanode #119 has received a block #8
[27/10/2019 07:02:26.524] Datanode #119 has received a block #8
[27/10/2019 07:02:26.524] Datanode #162 has received a block #2
[27/10/2019 07:02:28.035] Datanode #162 has received a block #2
[27/10/2019 07:02:28.036] Datanode #119 has received a block #8
[27/10/2019 07:02:30.560] Datanode #162 has received a block #2
[27/10/2019 07:02:30.561] Datanode #119 has received a block #8
[27/10/2019 07:02:32.067] Datanode #119 has received a block #8
[27/10/2019 07:02:32.067] Datanode #162 has received a block #2
[27/10/2019 07:02:34.578] Datanode #119 has received a block #8
[27/10/2019 07:02:34.578] Datanode #162 has received a block #2
[27/10/2019 07:02:36.089] Datanode #162 has received a block #2
[27/10/2019 07:02:36.089] Datanode #119 has received a block #8
[27/10/2019 07:02:38.597] Datanode #119 has received a block #8
[27/10/2019 07:02:38.598] Datanode #162 has received a block #2
[27/10/2019 07:02:40.107] Datanode #119 has received a block #8
[27/10/2019 07:02:40.108] Datanode #162 has received a block #2
[27/10/2019 07:02:42.625] Datanode #119 has received a block #8
[27/10/2019 07:02:42.625] Datanode #162 has received a block #2
[27/10/2019 07:02:44.134] Datanode #119 has received a block #8
[27/10/2019 07:02:44.135] Datanode #162 has received a block #2
[27/10/2019 07:02:46.655] Datanode #119 has received a block #8
[27/10/2019 07:02:46.655] Datanode #162 has received a block #2
[27/10/2019 07:02:48.167] Datanode #119 has received a block #8
[27/10/2019 07:02:48.167] Datanode #162 has received a block #2
[27/10/2019 07:02:50.689] Datanode #119 has received a block #8
[27/10/2019 07:02:50.690] Datanode #162 has received a block #2
[27/10/2019 07:02:52.198] Datanode #119 has received a block #8
[27/10/2019 07:02:52.198] Datanode #162 has received a block #2
[27/10/2019 07:02:54.713] Datanode #119 has received a block #8
[27/10/2019 07:02:54.713] Datanode #162 has received a block #2
[27/10/2019 07:02:56.224] Datanode #162 has received a block #2
[27/10/2019 07:02:56.225] Datanode #119 has received a block #8
[27/10/2019 07:02:58.738] Datanode #119 has received a block #8
[27/10/2019 07:02:58.738] Datanode #162 has received a block #2
[27/10/2019 07:03:00.250] Datanode #162 has received a block #2
[27/10/2019 07:03:00.250] Datanode #119 has received a block #8
[27/10/2019 07:03:02.765] Datanode #162 has received a block #2
[27/10/2019 07:03:02.765] Datanode #119 has received a block #8
[27/10/2019 07:03:04.273] Datanode #162 has received a block #2
[27/10/2019 07:03:04.274] Datanode #119 has received a block #8
[27/10/2019 07:03:06.789] Datanode #119 has received a block #8
[27/10/2019 07:03:06.789] Datanode #162 has received a block #2
[27/10/2019 07:03:08.297] Datanode #119 has received a block #8
[27/10/2019 07:03:08.298] Datanode #162 has received a block #2
[27/10/2019 07:03:10.814] Datanode #119 has received a block #8
[27/10/2019 07:03:10.814] Datanode #162 has received a block #2
[27/10/2019 07:03:12.326] Datanode #119 has received a block #8
[27/10/2019 07:03:12.326] Datanode #162 has received a block #2
[27/10/2019 07:03:14.844] Datanode #162 has received a block #2
[27/10/2019 07:03:14.844] Datanode #119 has received a block #8
[27/10/2019 07:03:16.355] Datanode #162 has received a block #2
[27/10/2019 07:03:16.355] Datanode #119 has received a block #8
[27/10/2019 07:03:18.878] Datanode #162 has received a block #2
[27/10/2019 07:03:18.878] Datanode #119 has received a block #8
[27/10/2019 07:03:20.390] Datanode #162 has received a block #2
[27/10/2019 07:03:20.390] Datanode #119 has received a block #8
[27/10/2019 07:03:22.903] Datanode #119 has received a block #8
[27/10/2019 07:03:22.904] Datanode #162 has received a block #2
[27/10/2019 07:03:24.415] Datanode #119 has received a block #8
[27/10/2019 07:03:24.415] Datanode #162 has received a block #2
[27/10/2019 07:03:26.924] Datanode #119 has received a block #8
[27/10/2019 07:03:26.924] Datanode #162 has received a block #2
[27/10/2019 07:03:28.432] Datanode #119 has received a block #8
[27/10/2019 07:03:28.433] Datanode #162 has received a block #2
[27/10/2019 07:03:30.949] Datanode #119 has received a block #8
[27/10/2019 07:03:30.949] Datanode #162 has received a block #2
[27/10/2019 07:03:32.461] Datanode #119 has received a block #8
[27/10/2019 07:03:32.461] Datanode #162 has received a block #2
[27/10/2019 07:03:34.978] Datanode #162 has received a block #2
[27/10/2019 07:03:34.978] Datanode #119 has received a block #8
[27/10/2019 07:03:36.488] Datanode #119 has received a block #8
[27/10/2019 07:03:36.489] Datanode #162 has received a block #2
[27/10/2019 07:03:39.007] Datanode #162 has received a block #2
[27/10/2019 07:03:39.008] Datanode #119 has received a block #8
[27/10/2019 07:03:40.516] Datanode #162 has received a block #2
[27/10/2019 07:03:40.517] Datanode #119 has received a block #8
[27/10/2019 07:03:43.031] Datanode #162 has received a block #2
[27/10/2019 07:03:43.031] Datanode #119 has received a block #8
[27/10/2019 07:03:44.536] Datanode #119 has received a block #8
[27/10/2019 07:03:44.536] Datanode #162 has received a block #2
[27/10/2019 07:03:47.061] Datanode #162 has received a block #2
[27/10/2019 07:03:47.061] Datanode #119 has received a block #8
[27/10/2019 07:03:48.572] Datanode #162 has received a block #2
[27/10/2019 07:03:48.573] Datanode #119 has received a block #8
[27/10/2019 07:03:51.091] Datanode #119 has received a block #8
[27/10/2019 07:03:51.091] Datanode #162 has received a block #2
[27/10/2019 07:03:52.601] Datanode #162 has received a block #2
[27/10/2019 07:03:52.601] Datanode #119 has received a block #8
[27/10/2019 07:03:54.617] Datanode #119 has received a block #8
[27/10/2019 07:03:54.617] Datanode #162 has received a block #2
[27/10/2019 07:03:57.131] Datanode #119 has received a block #8
[27/10/2019 07:03:57.131] Datanode #162 has received a block #2
[27/10/2019 07:03:58.637] Datanode #119 has received a block #8
[27/10/2019 07:03:58.637] Datanode #162 has received a block #2
